Coconut Milk Noodle,$13.00,Kyusu Burmese Cuisine,$$,000000130.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/IKYvbsnRboC5PT209jn2VA/258s.jpg
Seik Tar Chet,$18.00,Kyusu Burmese Cuisine,$$,000000131.jpg,https://s3-media4.fl.yelpcdn.com/bphoto/bILHggM6XRhvXSRubd-skA/258s.jpg
Samosa,$7.00,Kyusu Burmese Cuisine,$$,000000132.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/Yi3LDf8tJ9D1ROVmo3cqFw/258s.jpg
Big Sur Pizza,$17.00,Pizza My Heart,$,000000133.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/nklgL4tvnfXdI5f5Mx3xJQ/258s.jpg
Maui Wowie Pizza,$15.00,Pizza My Heart,$,000000134.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/KcKebNlHVbonozxmmPurxQ/258s.jpg
Chicken Tikka Masala,$8.99,Shan,$,000000135.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/aQ-SZVevMlVOEBCH3S7IzA/258s.jpg
Chicken Biryani,$8.99,Shan,$,000000136.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/foMnoj4MhqLYvAx_mpHmbQ/258s.jpg
Chicken Breast Tandoori,$4.99,Shan,$,000000137.jpg,https://s3-media4.fl.yelpcdn.com/bphoto/pj8EoBtMLc_8db6bnQGBjA/258s.jpg
Basmati Rice,$2.99,Shan,$,000000138.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/cIg2wGEFEv99hVh0ctI0ng/258s.jpg
Chicken Karahi Special,$9.49,Shan,$,000000139.jpg,https://s3-media4.fl.yelpcdn.com/bphoto/JZAQvc7_Sw0JLAWslfI_ww/258s.jpg
Chicken Kofta,$8.99,Shan,$,000000140.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/phqZj1ojiHebl4wso-D13Q/258s.jpg
Chicken Kebab Roll,$5.99,Shan,$,000000141.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/nggK3v49nuANkMO0kkjJng/258s.jpg
Chicken Leg Tandoori,$4.49,Shan,$,000000142.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/KCHm7rAdjsILZnCakd8XYg/258s.jpg
Lamb Curry,$9.49,Shan,$,000000143.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/aQ-SZVevMlVOEBCH3S7IzA/258s.jpg
Paneer Tikka,$6.99,Shan,$,000000144.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/J9u_o3flcvFcDQW48I8qcA/258s.jpg
Banh Khot,$8.95,Vung Tau Restaurant,$$,000000145.jpg,https://s3-media4.fl.yelpcdn.com/bphoto/iTzOAL_reKMhOjaMMLyAVg/258s.jpg
Canh Sung Vung Tau,$16.50,Vung Tau Restaurant,$$,000000146.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/flpKZX-x1sluuYh9_f8jJA/258s.jpg
Ba Nam Sa Dec,$9.75,Vung Tau Restaurant,$$,000000147.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/CVAGLADXN7Jw4jPiGmpPog/258s.jpg
Canh Chua,$10.50,Vung Tau Restaurant,$$,000000148.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/dc3N6-NA-tFSSS-FcGzJaA/258s.jpg
